Time,Residential_Heating,Residential_Cooling,Residential_DHW,Office_Heating,Office_Cooling,Office_DHW,community_center_Heating,community_center_Cooling,community_center_DHW,Retail_Heating,Retail_Cooling,Retail_DHW,Grocery_Heating,Grocery_Cooling,Grocery_DHW,Hotel_Heating,Hotel_Cooling,Hotel_DHW
 08/15  13:00:00,0,0.001629288,0.001097829,7.66E-06,0.007527244,0.000295414,0.002284427,0.010624389,0.000273165,0,0.000307108,0.000268067,0.00046088,0.022362817,0,0,0.002780102,0.001925306
 08/15  14:00:00,0,0.001983259,0.000953672,8.01E-06,0.008646824,0.000295414,0.002313614,0.01202939,0.000273165,0,0.000461826,0.000267973,0.000378809,0.025080908,0,0,0.003247843,0.002169696
 08/15  15:00:00,0,0.002457333,0.001093954,7.45E-06,0.007772978,0.000295414,0.002376867,0.011107536,0.000413886,0,0.000595245,0.000160376,0.000341767,0.027479425,0,0,0.00361141,0.001952458
 08/15  16:00:00,0,0.002604748,0.00121226,7.85E-06,0.008154181,0.000295414,0.001001176,0.004583543,0.000993328,0,0.000581661,0.000266812,0.000422063,0.025796858,0,3.60E-06,0.003454546,0.000216446
 08/15  17:00:00,0,0.002508165,0.00159931,1.43E-06,0.001991834,0.000234408,0.000856051,0.002210448,0.002069427,0,0.000542482,0.00016019,0.00015362,0.013089414,0,6.81E-07,0.003029896,0.000442208
 08/15  18:00:00,0,0.00216922,0.001876096,0,0.002022431,0.000173397,0.000853173,0.003185564,0.002483317,0,0.000490507,0.000266917,0,0.010107949,0,3.23E-07,0.002713872,0.000703674
 08/15  19:00:00,0,0.001543647,0.001774773,0,0.000514586,0.000173397,0.000702908,0.001919943,0.002152204,0,0.000362656,0.000106634,0,0.010340643,0,0,0.003522216,0.00045517
 08/15  20:00:00,0,0.000893933,0.001618321,0,1.95E-05,0.000173397,0.001809076,0.001452723,0.001655543,0,0.000114796,0.000266,0,0.009158758,0,0,0.003223999,0.000679919
 08/15  21:00:00,0,0.000401237,0.001294844,0,0,0.000173397,0.001213456,0.000569119,0.000496663,0,0,0,0,0.00513967,0,1.85E-06,0.001987169,0.000711084
 08/15  22:00:00,0,0.000151227,0.001268623,0,0,0.000173397,0.00170993,0.000807894,0,0,0,5.30E-05,0,0.002009078,0,1.56E-05,0.005148011,0.000696976
 08/15  23:00:00,0,5.64E-05,0.000746859,0,0,0.000173397,0.00150123,0.000396509,0,0,0,9.19E-05,0,0,0,0,0.003919923,0.000444905
